Units,NRSF,Prevailing Wage,Parking SF
72,42120,No,0
155,92216,No,0
78,55349,Yes,9793
100,90613,Yes,0
40,19008,No,0
145,104014,No,53533
50,23672,No,0
145,110474,No,0
130,141063,Yes,0
60,49416,Yes,None
140,158271,No,0
238,110379,No,5800
130,104834,Yes,0
72,45187,Yes,None
23,10740,Yes,0
58,30733,No,0
57,53054,Yes,0
104,68438,Yes,17279
42,24316,No,5515
113,106995,Yes,66020
166,156660,No,0
113,61675,Yes,0
75,56840,Yes,11075
94,77559,Yes,11575
108,131859,Yes,0
48,44000,No,30545
96,83328,Yes,0
98,19623,Yes,19200
160,121092,No,36248
95,69415,Yes,27377
110,95810,Yes,18448
55,40501,Yes,0
94,83204,No,0
178,94770,Yes,0
102,81128,Yes,0
111,0,No,0
56,40025,Yes,11500
191,178138,No,0
305,130802,Yes,0
241,126538,Yes,22560
140,64185,Yes,27747
87,25300,Yes,0
237,170422,Yes,0
245,170772,Yes,0
341,301106,No,115000
78,35334,No,0
104,0,Yes,57570
126,88619,Yes,32559
89,32154,Yes,30408
19,0,No,0
168,133293,Yes,0
224,183983,No,94890
78,46201,Yes,10800
55,41120,Yes,0
96,82395,Yes,0
65,61114,No,0
125,102248,No,23442
50,0,No,0
33,29919,Yes,0
84,71868,No,0
95,0,No,270
