land,hard,soft,arch,finance,dev
38125000,5064344,1333180,237000,2467143,6358997
17912685,21228971,2888198,326750,3315161,4435564
9427168,42781081,22369867,1482207,8735532,2800000
3464300,46557611,5248619,1227350,9304173,8762441
1349750,6277014,1133413.1414595074,591908,1397289,1234572
2300000,55361429,6188875,1000000,4854074,9800000
1566250,7662595,1184593.3645268506,612099,1885332,1497073
2449233,43540174,8050656,1014850,4611507,7855968
2420000,49665000,6136532,2900000,8295641,9718233
0,35281642,4724797,1760800,3929440,4800000
1957627,43365000,11764307.8,1727000,6051581.2,8949626
48450000,20290159,2264482,358300,7762664,6203268
5537836,63922561,5381894,1957345,8889840,11274798
4520000,27723639,5472927,700000,5027260,5341511
500649,10202231,924422,593651,1362771,2494132
2350000,13353632,2428840,858500,1653403,2500000
640426,27406479,3810514.6999999997,1465000,3692558,5260778
7944903,51010663,3048717,1658180,8449460,4500000
4730000,3625556,830220,415000,670168,917052
1181721,93199758,6321632,3890315,11883404,14517646
3600000,48444967,12910940,1100000,4680636,9221718
8846865.2,55730747.6182451,5867022.921461865,1800000,9151950.821067156,3500000
962500,48045489,2652093,2464405,5210452,8242378
2072046,46369355,3705287,1655770,7933301,8743276
2481040,46115435,5352646,1268000,6952482,8533873
242823,13150000,1532577,440168,1638020,2100000
1934469,33344368,6615051,1620000,6761329,6458482
7040000,52721577.3,5877083.7,2208925,12161925,3500000
3597934.375,46871635.55,8147133.865132609,2006652,8814427.571833331,9306811.00574
13300000,43011579,3718031,1575000,9196348,7784120
390725,56606030,6108990,2636029,5771701,4000000
480658,44017496,3624638,2120861,4030121,7678478
5025000,33457941,6118739,2000000,6214920,6651624
6150000,59671947,7574300,1902000,10704140,9840000
11015185,51610459,3475340,3136172,6199560,9082537
6268750,32494422,4575530,1330000,5746604,6404967
199943,31281122,3155850,1719742,4102469,7485988
3490000,45718552,7950789,1600000,5224750,6500000
7850000,84150226,15337320,3154800,15343970,12400000
30199,85222200,6446197,1530920,10510684,6921980
10800000,65170874,4419541,1820000,8006738,11151393
20050000,13581617,1715057,437000,2824646,5459521
11544000,81162296.06855999,12970866,3006000,19810860,22800054
11600000,78402786,11752459,3086934,18802500,21736273
21501900,144209753,21205520,3843000,18661744,27273323
2200000,23029442,2780977,1343000,2193421,4124529
22850000,19745973,3568953,825000,2846839,6983504
95000,61352923,6279368,3744820,9358137,11273799
3255000,44505500,4499205,2415500,7103216,7721987
10001,6014361,1271951,313541,1740526,1308606
2685148,127783278,7772369,3742563,17947504,3500000
160000,84350599,11187476,3786978,6610176,14775000
3578317,40981118,4342031,2285000,5447108,3500000
4255000,25349174,2394481,1050000,4063551,4236213
6350000,58444539.90826306,7469274.490048632,3845262.029984546,5837250,10300000
13490000,6298184,845541,245020,1184255.0,3007419.8
10724851,44313080.0,4092314.0936151072,2125820,7474404.81308595,9886591.59852772
1050310,12283791,3450042,850327,1789780,2588175
1514125,15374416,2982123,565000,2781404,3088789
45000000,12420008,2708120,250000,6285400,8293598
5296260,29699698,4342588,1211699,4066823,5506167
