Units,NRSF,Prevailing Wage,Parking SF,Stories,Buildings,Architect,Parking Spaces,Subterranean?
CA-24-408,[47170]
CA-24-409,[124704]
CA-24-410,[77523]
CA-24-411,[36888]
CA-24-412,[130390]
CA-24-413,[39926]
CA-24-414,[82622]
CA-24-415,[65137]
CA-24-416,[31347]
CA-24-417,[171928]
CA-24-418,[89390]
CA-24-419,[81820]
CA-24-420,[102045]
CA-24-421,[141316]
CA-24-422,[69097]
CA-24-423,[136489]
CA-24-424,[104415]
CA-24-425,[108770]
CA-24-426,[22571]
CA-24-427,[187450]
CA-24-428,[31898]
CA-24-429,[126240]
CA-24-430,[125466]
CA-24-431,[155395]
CA-24-432,[243550]
CA-24-433,[117665]
CA-24-434,[148618]
CA-24-435,[57118]
CA-24-436,[75893]
CA-24-437,[119000]
CA-24-438,[92490]
CA-24-439,[54240]
CA-24-440,[53952]
CA-24-441,[188560]
CA-24-442,[119436]
CA-24-443,[128628]
CA-24-444,[172340]
CA-24-445,[78131]
CA-24-446,[32998]
CA-24-447,[174386]
CA-24-448,[132233]
CA-24-449,[197239]
CA-24-450,[116769]
CA-24-451,[87619]
CA-24-452,[39037]
CA-24-453,[36650]
CA-24-454,[81333]
CA-24-455,[51913]
CA-24-456,[230285]
CA-24-457,[246121]
CA-24-458,[289600]
CA-24-459,[21566]
CA-24-460,[37780]
CA-24-461,[147276]
CA-24-462,[75875]
CA-24-463,[98719]
CA-24-464,[187535]
CA-24-465,[28501]
CA-24-466,[214254]
CA-24-467,[56538]
CA-24-468,[47467]
CA-24-469,[92437]
CA-24-470,[45969]
CA-24-471,[185781]
CA-24-472,[161618]
CA-24-473,[84669]
CA-24-474,[89256]
CA-24-475,[147645]
CA-24-476,[116178]
CA-24-477,[155626]
CA-24-478,[79751]
CA-24-479,[94508]
CA-24-480,[85000]
CA-24-481,[124956]
CA-24-482,[90137]
CA-24-483,[219551]
CA-24-484,[112328]
CA-24-485,[135392]
CA-24-486,[124525]
CA-24-487,[65935]
CA-24-488,[33819]
CA-24-489,[123767]
CA-24-490,[61793]
CA-24-491,[128059]
CA-24-492,[86568]
CA-24-493,[104950]
CA-24-494,[91005]
CA-24-495,[89627]
CA-24-496,[77860]
CA-24-497,[104940]
CA-24-498,[61402]
CA-24-499,[197820]
CA-24-500,[63460]
CA-24-501,[66854]
CA-24-502,[182138]
CA-24-503,[143895]
CA-24-504,[193785]
CA-24-505,[143250]
CA-24-506,[37868]
CA-24-507,[198716]
CA-24-508,[256308]
CA-24-509,[115648]
CA-24-510,[44507]
CA-24-511,[32130]
CA-24-512,[154251]
CA-24-513,[50800]
CA-24-514,[98054]
CA-24-515,[191972]
CA-24-516,[191972]
CA-24-517,[57977]
CA-24-518,[36186]
CA-24-519,[62344]
CA-24-520,[100105]
CA-24-521,[426017]
CA-24-522,[51715]
CA-24-523,[136000]
CA-24-524,[154166]
CA-24-525,[144179]
CA-24-526,[119997]
CA-24-527,[78425]
CA-24-528,[18274]
CA-24-529,[85556]
CA-24-530,[47595]
CA-24-531,[139088]
CA-24-532,[139779]
CA-24-533,[21391]
CA-24-534,[82308]
CA-24-535,[191719]
CA-24-536,[42997]
CA-24-537,[74416]
CA-24-538,[87900]
CA-24-539,[322015]
CA-24-540,[63805]
CA-24-541,[62900]
CA-24-542,[127038]
CA-24-543,[156458]
CA-24-544,[49623]
CA-24-545,[43600]
CA-24-546,[157780]
CA-24-547,[93229]
CA-24-548,[107414]
CA-24-549,[62510]
CA-24-550,[85954]
CA-24-551,[128582]
CA-24-552,[176399]
CA-24-553,[36490]
CA-24-554,[37950]
CA-24-555,[133550]
CA-24-556,[124350]
CA-24-557,[145830]
CA-24-558,[73132]
CA-24-559,[97421]
CA-24-560,[79291]
CA-24-561,[75174]
CA-24-562,[230645]
CA-24-563,[54809]
CA-24-564,[73705]
CA-24-565,[38337]
CA-24-566,[41398]
CA-24-567,[43372]
CA-24-568,[23523]
