App Number,Company Name,"City, State, Zip",Address,Contact Person,Phone Number,Email
CA-secondround_2023,"1300 114th Avenue SE, Suite 240","Bellevue, WA 98004",Thomas Stagg,425-453-5783,,
CA-secondround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-secondround_2023,10100 Trinity Parkway Suite 310,"Stockton, CA 95219",Tobbie Wells,2094731040,2094739771,
CA-secondround_2023,9261 Sierra College Blvd,"Roseville, CA 95661",Justin Gierth,916-751-2900,,
CA-secondround_2023,9261 Sierra College Blvd,"Roseville, CA 95661",Justin Gierth,916-751-2900,,
CA-secondround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-secondround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-secondround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-secondround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-secondround_2023,501 Congressinal Blvd,"Carmel, IN  46032",Kenny Dennison,3178196173,,
CA-secondround_2023,400 Capitol Mall,"Sacramento, CA 95814",Laura Wilder,9169305732,9164429103,
CA-secondround_2023,"301 Howard Street, Suite 850","San Francisco, CA 94105",Scott Smith,4159055487,N/A,
CA-secondround_2023,"1160 Battery Street, East Bldg, 4th Floor","San Francisco, CA 94111",Mike Morrison,(415) 356-8025,Not Applicable,
CA-secondround_2023,"501 Congressional Blvd., Suite 300","Carmel, IN 46032",Amy Unterfranz,317-848-5700,,
CA-secondround_2023,"1300 114th Avenue SE, Suite 240","Bellevue, WA 98004",Thomas Stagg,425-453-5783,,
CA-secondround_2023,"9191 Towne Centre Dr., Suite 340","San Diego, CA 92122",Ronny Mitchell,858-731-5114,858-587-0212,
CA-secondround_2023,"1300 114th Avenue SE, Suite 240","Bellevue, WA 98004",Thomas Stagg,425-453-5783,,
CA-secondround_2023,"211 East Ocean Blvd., Ste 600","Long Beach, CA 90802",Craig Staswick,562 256 3555,,
CA-secondround_2023,50 W San Fernando St. #500,"San Jose, CA, 95113",Yu Zhao,(408) 200-6400,,
CA-secondround_2023,P.O. Box 4632,"Stockton, CA 95204",Bernard Rea ,(209) 933-9113,(209) 933-9115,
CA-secondround_2023,"6700 Antioch Road, Suite 450","Merriam, KS 66204","Craig Staswick, CPA",5622563555,,
CA-secondround_2023,"1300 114th Ave SE, Suite 240","Bellevue, WA 98004","Thomas Stagg, CPA, HCCP",5108250587,,
CA-secondround_2023,"2810 Camino Del Rio South, #200",San Diego CA 92108,Michael J. Zizzi,619-294-7200,,
CA-secondround_2023,"400 Capitol Mall, Suite 900","Sacramento, CA 95814",Ahamadou Bocar,9164429100,9164429103,
CA-secondround_2023,"249 E. Ocean Blvd., Suite 800","Long Beach, CA 90802",Justin Chubb Lurya,562-256-2337,,
CA-secondround_2023,PO Box 7833,"San Francisco, CA 94120-7833",Melissa Chung,415-356-7906,415-356-8001,
CA-secondround_2023,"1160 Battery St. East Building, 4th Floor","San Francisco, CA, 94111",Melissa Chung,(415) 356-7906,,
CA-secondround_2023,621 Capitoal Mall #2150,"Sacaramento, ca 95814",Jacky Tang,916-442-9100,,
CA-secondround_2023,"621 Capitol Mall, Ste. 2150","Sacramento, CA 95814",Brian Brewer,916-930-5758,916-442-9103,
CA-secondround_2023,9261 Sierra College Blvd. ,"Roseville, CA 95661",Justin Gierth ,916-751-2900,916-751-2979,
CA-secondround_2023,,,,,,
CA-secondround_2023,501 Congressional Blvd,"Carmel, IN 46032",Nancy Morton,317-819-6141,,
CA-secondround_2023,1160 Battery Street. 4th Floor,"San Franciso, CA 94111",Mike Morrison,(415) 356-8000,(415) 356-8001,
CA-secondround_2023,"10100 Trinity Parkway, Ste. 310","Stockton, CA 95219",Darryl Petrick,2094731040,2094739711,
CA-secondround_2023,"1000 SW Broadway, Suite 1680","Portland, OR 97205","Nicolo Pinoli, CPA",503-821-2750,,
CA-secondround_2023,P.O. Box 492,"Aubrey, TX 76227","Bernard E. Rea, CPA",2099339113,,
CA-secondround_2023,"301 Howard Street, Suite 850","San Francisco, CA 94105",Scott Smith,415.905.5487,415.957.1629,
CA-secondround_2023,P.O. Box 492,"Aubrey, TX 76227",Bernie Rea,(209) 933-9113,(209) 933-9115,
CA-secondround_2023,501 Congressional Blvd,"Carmel, IN, 46032",Chris Thompson,3178196176,,
CA-secondround_2023,P.O. Box 492,"Aubrey, TX 76227",Bernie Rea,2099339113,,
CA-secondround_2023,"1000 SW Broadway, Suite 1680","Portland, OR 97205",Warren Sebra,503-821-2710,,
CA-secondround_2023,300 New Stine Road,"Bakersfield, CA 93309",Patrick Paggi,661-834-7411,NA,
CA-secondround_2023,"2033 N. Main St., Suite 400","Walnut Creek, CA 94596",Jon Adkins,9259494251,,
CA-secondround_2023,3011 Towngate Rd. ,"Westlake Village, CA, 91361",Dave Bierhost,8054131702,,
CA-secondround_2023,"249 E. Ocean Boulevard, Suite 900","Long Beach, CA 90802",Bill Letsinger,(562) 256-2340,(562) 432-9483,
CA-secondround_2023,,,,,,
CA-secondround_2023,P.O. Box 492,"Aubrey, TX 76227",Bernie Rea,2099339113,2099339115,
CA-secondround_2023,"1000 SW Broadway, Suite 1680",Portland OR  97205,Warrant Sebra,503-821-2710,,
CA-secondround_2023,501 Congressional Blvd.,"Carmel, IN 46032",Connor Wyatt,317-848-5700,,
CA-secondround_2023,501 Congressional Boulevard,"Carmel, Indiana 46032",Greg A. Wasiak,3178196145,3178156140,
CA-secondround_2023,"1160 Battery Street, East Bldg 225","San Francisco, CA 94111",Thomas Stagg,425-519-1234,,
CA-secondround_2023,"90 New Montgomery, 11th Floor","San Francisco, CA, 94105",Joe Li,(415) 957-9999,(415) 957-1629,
CA-secondround_2023,"400 Capital Mall, Suite 1200","Sacramento, CA 95814",Brian Brewer,916-930-5758,,
CA-secondround_2023,501 Congressional Boulevard,"Carmel, Indiana 46032",Greg A. Wasiak,3178196145,3178156140,
CA-secondround_2023,501 Congressional Boulevard,"Carmel, Indiana 46032",Greg A. Wasiak,3178196145,3178156140,
CA-secondround_2023,501 Congressional Boulevard,"Carmel, Indiana 46032",Greg A. Wasiak,3178196145,3178156140,
CA-secondround_2023,"900 University Ave., Suite 100","Sacramento, CA 95825",James B. Williams,9168581680,9168581055,
CA-secondround_2023,"3470 Mt. Diablo Blvd, Suite A300","Lafayette, CA 94549",Roza Chan,(925) 376-2195,,
CA-secondround_2023,300 New Stine Road,"Bakersfield, CA 93309",patrick@bpvb.com,661 834-7411,,
CA-secondround_2023,300 New Stine Rd,"Bakersfield, CA 93309",Patrick Paggi,661-834-7411,,
