Project ID,Requirements,Overhead,Profit,Insurance,Requirements,Percentage
CA-24-408," $224,640 "," $74,880 "," $224,640 "," $37,440 "," $4,378,040 ",13%
CA-24-409," $956,040 "," $318,680 "," $956,040 "," $217,977 "," $18,397,737 ",13%
CA-24-410," $375,000 "," $1,000,000 "," $1,400,000 "," $1,122,071 "," $40,194,811 ",10%
CA-24-411," $309,861 "," $103,287 "," $309,861 "," $73,902 "," $5,976,262 ",13%
CA-24-412," $1,771,433 "," $1,126,828 "," $1,126,828 "," $1,366,121 "," $49,612,536 ",11%
CA-24-413," $641,513 "," $226,668 "," $680,003 "," $120,000 "," $12,128,272 ",14%
CA-24-414," $1,729,315 "," $1,210,520 "," $1,210,521 "," $484,208 "," $39,071,274 ",12%
CA-24-415," $1,289,713 "," $455,698 "," $1,367,095 "," $300,000 "," $24,907,716 ",14%
CA-24-416," $765,726 "," $270,557 "," $811,670 "," $160,000 "," $14,484,059 ",14%
CA-24-417," $4,062,682 "," $1,354,227 "," $4,062,682 "," $725,000 "," $77,605,855 ",13%
CA-24-418," $1,930,824 "," $682,224 "," $2,046,673 "," $375,000 "," $37,215,121 ",14%
CA-24-419," $2,094,264 "," $739,973 "," $2,219,920 "," $400,000 "," $39,982,281 ",14%
CA-24-420," $1,579,946 "," $558,248 "," $1,674,743 "," $300,000 "," $30,032,367 ",14%
CA-24-421," $2,201,393 "," $777,825 "," $2,333,476 "," $430,000 "," $41,928,806 ",14%
CA-24-422," $1,599,988 "," $1,343,990 "," $1,679,987 "," $680,947 "," $37,304,672 ",14%
CA-24-423," $2,712,912 "," $2,278,846 "," $2,848,558 "," $987,367 "," $62,910,933 ",14%
CA-24-424," $1,109,520 "," $2,034,120 "," $2,034,120 "," $820,000 "," $44,348,523 ",14%
CA-24-425," $2,051,320 "," $949,811 "," $2,394,000 "," $466,000 "," $52,404,731 ",11%
CA-24-426," $394,000 "," $150,000 "," $150,000 "," $118,581 "," $5,976,204 ",14%
CA-24-427," $1,198,023 "," $1,198,023 "," $2,396,046 "," $660,809 "," $52,249,548 ",10%
CA-24-428," $299,000 "," $150,000 "," $150,000 "," $145,659 "," $7,295,805 ",10%
CA-24-429," $2,412,348 "," $1,153,887 "," $1,153,887 "," $1,172,320 "," $65,204,909 ",9%
CA-24-430," $2,740,000 ", $-   ," $2,293,455 ", $-   ," $41,310,813 ",12%
CA-24-431," $4,091,400 "," $1,145,700 "," $1,145,700 "," $1,666,932 "," $73,935,373 ",11%
CA-24-432," $3,495,705 "," $2,936,392 "," $3,670,490 "," $1,272,265 "," $81,288,952 ",14%
CA-24-433," $1,188,000 "," $1,953,763 "," $1,953,763 "," $1,022,823 "," $41,510,765 ",15%
CA-24-434," $2,664,922 ", $-   ," $1,688,576 "," $1,134,259 "," $47,300,000 ",12%
CA-24-435," $1,818,220 "," $1,569,335 ", $-   ," $230,692 "," $33,601,564 ",11%
CA-24-436," $1,355,375 "," $903,583 "," $903,583 "," $515,043 "," $26,267,158 ",14%
CA-24-437," $2,381,512 "," $793,837 "," $2,381,512 ", $-   ," $50,328,213 ",11%
CA-24-438," $930,000 "," $620,000 "," $620,000 "," $200,000 "," $17,870,000 ",13%
CA-24-439," $365,166 "," $558,705 "," $558,705 ", $-   ," $18,935,836 ",8%
CA-24-440," $991,684 "," $661,123 "," $661,123 "," $188,420 "," $18,530,421 ",14%
CA-24-441," $2,111,773 "," $1,492,320 "," $1,492,320 "," $402,989 "," $41,300,000 ",13%
CA-24-442," $932,095 "," $310,698 "," $932,095 "," $178,651 "," $17,888,449 ",13%
CA-24-443," $3,189,401 "," $2,126,268 "," $2,126,268 "," $605,986 "," $60,815,143 ",13%
CA-24-444," $4,469,756 "," $1,150,154 "," $1,150,154 "," $2,077,660 "," $70,003,102 ",13%
CA-24-445," $1,175,210 "," $1,766,814 "," $1,766,815 ", $-   ," $47,953,991 ",10%
CA-24-446," $1,875,789 "," $376,541 "," $376,541 "," $428,566 "," $22,215,186 ",14%
CA-24-447," $951,731 "," $499,675 "," $499,674 "," $420,348 "," $19,011,383 ",12%
CA-24-448," $1,775,249 "," $500,000 "," $1,479,374 "," $350,000 "," $31,588,703 ",13%
CA-24-449," $1,492,000 "," $932,500 "," $932,500 "," $125,000 "," $39,036,375 ",9%
CA-24-450," $3,482,400 "," $930,871 "," $930,871 "," $975,305 "," $56,210,861 ",11%
CA-24-451," $1,741,000 "," $918,800 "," $1,985,000 "," $419,000 "," $48,417,806 ",10%
CA-24-452," $1,431,500 "," $438,000 "," $1,100,000 "," $238,000 "," $24,071,045 ",13%
CA-24-453," $1,000,000 "," $700,000 "," $700,000 "," $150,000 "," $12,980,000 ",20%
CA-24-454, $-   ," $500,000 "," $710,889 "," $50,000 "," $25,808,720 ",5%
CA-24-455," $1,366,259 "," $1,034,047 "," $1,034,047 "," $680,482 "," $26,299,756 ",16%
CA-24-456," $4,312,145 "," $1,523,625 "," $4,570,874 "," $700,000 "," $80,652,714 ",14%
CA-24-457," $1,820,000 "," $3,026,736 "," $3,026,736 "," $1,897,399 "," $64,414,781 ",15%
CA-24-458," $4,554,225 "," $3,825,549 "," $4,781,936 "," $1,657,515 "," $105,903,725 ",14%
CA-24-459," $495,444 "," $350,114 "," $350,114 "," $131,861 "," $9,531,286 ",14%
CA-24-460, $-   ," $1,149,097 "," $762,938 "," $275,266 "," $12,853,632 ",17%
CA-24-461," $518,740 "," $173,173 "," $518,740 "," $86,100 "," $10,217,420 ",13%
CA-24-462," $1,928,430 "," $642,810 "," $1,928,430 ", $-   ," $37,145,971 ",12%
CA-24-463," $4,112,074 "," $906,722 "," $906,722 "," $1,377,898 "," $61,840,252 ",12%
CA-24-464," $1,336,000 "," $1,798,817 "," $1,798,817 ", $-   ," $75,140,711 ",7%
CA-24-465," $2,074,623 "," $416,507 "," $416,507 "," $216,584 "," $22,354,291 ",14%
CA-24-466," $4,185,137 "," $2,502,873 "," $2,502,873 "," $925,720 "," $76,949,541 ",13%
CA-24-467," $1,387,042 "," $1,484,602 ", $-   , $-   ," $26,144,574 ",11%
CA-24-468," $1,997,034 "," $1,194,303 "," $1,194,303 "," $1,009,030 "," $35,973,122 ",15%
CA-24-469," $2,128,293 "," $1,489,805 "," $1,489,805 ", $-   ," $48,034,410 ",11%
CA-24-470," $151,180 "," $212,937 ", $-   ," $84,984 "," $3,057,101 ",15%
CA-24-471," $4,010,249 "," $1,102,712 "," $1,102,712 "," $561,762 "," $88,670,632 ",8%
CA-24-472," $2,382,930 "," $794,310 "," $2,382,930 "," $452,757 "," $46,181,183 ",13%
CA-24-473," $2,064,707 "," $774,305 "," $774,305 "," $842,584 "," $52,099,894 ",9%
CA-24-474," $2,500,091 "," $1,272,443 ", $-   ," $618,134 "," $45,757,609 ",10%
CA-24-475," $3,066,908 "," $968,409 "," $968,409 ", $-   ," $49,648,734 ",10%
CA-24-476," $1,976,111 "," $988,055 "," $988,056 "," $125,000 "," $44,064,446 ",9%
CA-24-477," $2,308,320 "," $1,154,160 "," $1,154,160 "," $135,000 "," $43,676,515 ",11%
CA-24-478," $634,200 ", $-   ," $446,252 ", $-   ," $12,779,988 ",8%
CA-24-479," $995,804 "," $1,109,098 "," $1,109,098 "," $480,609 "," $37,695,822 ",10%
CA-24-480," $1,395,546 "," $697,773 "," $697,773 "," $454,549 "," $22,148,863 ",15%
CA-24-481," $1,673,467 "," $1,115,645 "," $1,115,645 "," $317,959 "," $31,724,368 ",13%
CA-24-482," $2,253,414 "," $751,138 "," $1,502,276 "," $600,910 "," $48,085,466 ",11%
CA-24-483," $2,491,375 ", $-   ," $1,927,663 "," $318,000 "," $44,630,241 ",11%
CA-24-484," $850,000 "," $300,000 "," $450,000 "," $450,000 "," $42,350,000 ",5%
CA-24-485," $3,475,093 "," $695,019 "," $695,018 "," $594,683 "," $40,640,131 ",13%
CA-24-486," $2,641,055 "," $933,173 "," $2,799,518 "," $1,511,740 "," $51,903,066 ",15%
