App Number,Tax Professional,Address,"City, State, Zip",Contact,Phone,Email,General Contractor,Address,"City, State, Zip",Contact,Phone,Email,Energy_Consultant,Address,"City, State, Zip",Contact,Phone,Email,Investor,Address,"City, State, Zip",Contact,Phone,Email,Analyst,Address,"City, State, Zip",Contact,Phone,Email,Appraiser,Address,"City, State, Zip",Contact,Phone,Email,Consultant,Address,"City, State, Zip",Contact,Phone,Email
CA-24-408,Carter & Co,"543 Harbor Blvd, Suite 201","Destin, FL 32541",Ken Bryant,850-650-0125,ken@cartercpa.net,Imperial Contracting,"16573 N 92nd Street, Suite C125","Scottsdale, AZ 85260",Kevin Finkle,480-892-9156,kfinkle@icppa.com,Peralta Energy,,,Ben Thomas,510-459-0825,ben@peraltaenergy.com,PNC,"121 SW Morrison, Suite 1300","Portland, OR 97204",Matt Harrington,503-386-4275,matthew.harrington@pnc.com,KVG,"3910 S 147th Street, Suite 144","Omaha, NE  68144",Jay Wortmann,402-202-0771,jay@kvgteam.com,KVG,"3910 S 147th Street, Suite 144","Omaha, NE  68144",Jay Wortmann,402-202-0771,jay@kvgteam.com,,,,,,
CA-24-409,"Winthrop & Weinstine, P.A. ",225 South 6th St,"Minneapolis, MN 55402",Paul Manda,(612) 604-6759,pmanda@winthrop.com,Wilshire Pacific Builders,2250 E Germann Rd # 1,"Chandle, AZ 85286",Jim Brundage,(623) 777-4533,jbrundage@wilshirepacific.com,Partner Energy,680 Knox Street Suite 150,"Los Angeles, CA 90502",Matthew Smith,916-910-0770,msmith@ptrenergy.com,R4 Capital LLC,"155 Federal Street, 16th Floor","Boston, MA 02210",Austin Divino,(512) 575-4753,ADivino@r4cap.com,Novogradac Consulting LLP,"6700 Antioch Road, Suite 450","Merriam, KS 66204",Sara Nachbar,913-312-4616,sara.nachbar@novoco.com,Integra Realty Resources,"590 Menloe Drive, Suite 1","Rocklin, CA 95765",Michelle Killin,(916) 435-3883,mkillin@irr.com,Dominion,201 Wylderose Drive,"Midlothian, VA 23113",Chad Matthews,804-358-2020,c.matthews@d3g.com
CA-24-410,Novogradac and Company LLP,"2033 N. Main Street, Suite 400","Walnut Creek, CA 94596",Sun-Ae Woo,925-949-4223,sun-ae.woo@novoco.com,TBD,,,,,,Bright Green Strategies,"1717 Seabright Avenue, Suite 4","Santa Cruz, CA 95062",Steve Davis,831.454.9956,steve@brightgreenstrategies.com,Boston Financial,225 Franklin Street,"Boston, MA 02110",Laura Surdel,774-567-5693,laura.surdel@bfim.com,Kinetic Valuation Group,"3901 S 147th St, Suite 144","Omaha, NE 68144",Jay Wortmann,402-202-0771,Jay@kvgteam.com,Valbridge Property Advisor,"3160 Crow Canyon Place, Suite 245","San Ramon, CA 94583",Lisa DeSanti,9253271660,ldesanti@valbridge.com,NA,,,,,
CA-24-411,"Winthrop & Weinstine, P.A. ",225 South 6th St,"Minneapolis, MN 55402",Paul Manda,(612) 604-6759,pmanda@winthrop.com,Wilshire Pacific Builders,2250 E Germann Rd # 1,"Chandle, AZ 85286",Jim Brundage,(623) 777-4533,jbrundage@wilshirepacific.com,Partner Energy,680 Knox Street Suite 150,"Los Angeles, CA 90502",Matthew Smith,916-910-0770,msmith@ptrenergy.com,R4 Capital LLC,"155 Federal Street, 16th Floor","Boston, MA 02210",Austin Divino,(512) 575-4753,ADivino@r4cap.com,Novogradac Consulting LLP,"6700 Antioch Road, Suite 450","Merriam, KS 66204",Sara Nachbar,913-312-4616,sara.nachbar@novoco.com,Integra Realty Resources,"590 Menloe Drive, Suite 1","Rocklin, CA 95765",Michelle Killin,(916) 435-3883,mkillin@irr.com,Dominion,201 Wylderose Drive,"Midlothian, VA 23113",Chad Matthews,804-358-2020,c.matthews@d3g.com
CA-24-412,Bocarsly Emden Cowan Esmail & Arndt LLP,633 West Fifth Street 64th Floor,"Los Angeles, CA 90071",Nichole Berklas,213-239-8059,nberklas@bocarsly.com,Quiring General LLC,"5118 E. Clinton Way, Suite 201","Fresno, CA 93727",Mayra Melgoza ,559-432-2800,mmelgoza@quiring.com,Partner Energy,"680 Knox St., Suite 150","Los Angeles, CA 90502",Cody Bathke,888-826-1216,cbathke@ptrenergy.com,To-Be-Determined,,,,,,Laurin Associates,"1501 Sports Dr, Ste A","Sacramento CA, 95834",Stefanie Williams,916-372-6100,stefanie@laurinassociates.com										,James G. Palmer Appraisals Inc.,"1285 W. Shaw, Suite 108","Fresno, CA 93711","Gregg J. Palmer, MAI",559-226-5020,gregg@jgpinc.com,N/A,,,,,
CA-24-413,"Grigg, Bratton & Brash, P.C.","4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,marshall@gbbaccounting.com,"Pacific West Builders, Inc.","430 E. State Street, Suite 100","Eagle, ID 83616",Caleb Roope,208.461.0022,calebr@tpchousing.com,"E3 CA, Inc.","2701 Cottage Way, Suite 3","Sacramento, CA 95825",Mark Silva,916.382.7862,msilva@e3cainc.com,Boston Financial,"101 Arch Street, 13th Floor","Boston, MA 02110",Laura Surdel,617.439.3911,laura.surdel@bfim.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Not Applicable,,,,,,Not Applicable,,,,,
CA-24-414,Gubb and Barshay LLP,"505 - 14th Street, Suite 1050","Oakland, CA 94612",Scott Barshay,415-781-6600,sbarshay@gubbandbarshay.com,TBD,,,,,,National Community Renaissance,9421 Haven Avenue,"Rancho Cucamonga, CA 91730",Tim Kohut,310-869-9706,tkohut@nationalcore.org,TBD,,,,,,Raney Planning & Management,"1501 Sports Drive, Suite A","Sacramento, CA, 95834",Stefanie Williams,916-372-6100,swilliams@laurinassociates.com,,,,,,,,,,,,
CA-24-415,"Grigg, Bratton & Brash, P.C.","4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,marshall@gbbaccounting.com,"Pacific West Builders, Inc.","430 E. State Street, Suite 100","Eagle, ID 83616",Caleb Roope,208.461.0022,calebr@tpchousing.com,"E3 CA, Inc.","2701 Cottage Way, Suite 3","Sacramento, CA 95825",Mark Silva,916.382.7862,msilva@e3cainc.com,Boston Financial,"101 Arch Street, 13th Floor","Boston, MA 02110",Laura Surdel,617.439.3911,laura.surdel@bfim.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Not Applicable,,,,,
CA-24-416,"Grigg, Bratton & Brash, P.C.","4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,marshall@gbbaccounting.com,"Pacific West Builders, Inc.","430 E. State Street, Suite 100","Eagle, ID 83616",Caleb Roope,208.461.0022,calebr@tpchousing.com,Redwood Energy,1887 Q Street,"Arcata, CA 95521",Sean Armstrong,707.826.1450,sean@redwoodenergy.net,Boston Financial,"101 Arch Street, 13th Floor","Boston, MA 02110",Laura Surdel,617.439.3911,laura.surdel@bfim.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Not Applicable,,,,,,Not Applicable,,,,,
CA-24-417,"Grigg, Bratton & Brash, P.C.","4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,marshall@gbbaccounting.com,"Pacific West Builders, Inc.","430 E. State Street, Suite 100","Eagle, ID 83616",Caleb Roope,208.461.0022,calebr@tpchousing.com,"E3 CA, Inc.","2701 Cottage Way, Suite 3","Sacramento, CA 95825",Mark Silva,916.382.7862,msilva@e3cainc.com,Boston Financial,"101 Arch Street, 13th Floor","Boston, MA 02110",Laura Surdel,617.439.3911,laura.surdel@bfim.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Not Applicable,,,,,
