 Project Number , Site Work , Structures , Requirements , Overhead , Profit , Prevailing Wages , Insurance , Third Party Management , Total Constr Costs ,GC Fee Percentage (of Total Costs),GC Fee Percentage (of Hard Costs)
 CA-24-408 , $-   ," $3,744,000 "," $224,640 "," $74,880 "," $224,640 ", $-   ," $37,440 ", $-   ," $4,378,040 ",13%,15%
 CA-24-409 , $-   ," $15,934,000 "," $956,040 "," $318,680 "," $956,040 ", $-   ," $217,977 ", $-   ," $18,397,737 ",13%,15%
 CA-24-410 ," $2,350,000 "," $33,490,540 "," $375,000 "," $1,000,000 "," $1,400,000 ", $-   ," $1,122,071 "," $75,000 "," $40,194,811 ",10%,12%
 CA-24-411 ," $182,380 "," $4,981,971 "," $309,861 "," $103,287 "," $309,861 ", $-   ," $73,902 ", $-   ," $5,976,262 ",13%,16%
 CA-24-412 ," $1,244,057 "," $42,782,269 "," $1,771,433 "," $1,126,828 "," $1,126,828 ", $-   ," $1,366,121 "," $120,000 "," $49,612,536 ",11%,13%
 CA-24-413 ," $1,120,000 "," $9,340,088 "," $641,513 "," $226,668 "," $680,003 ", $-   ," $120,000 ", $-   ," $12,128,272 ",14%,18%
 CA-24-414 ," $643,975 "," $33,792,735 "," $1,729,315 "," $1,210,520 "," $1,210,521 ", $-   ," $484,208 ", $-   ," $39,071,274 ",12%,14%
 CA-24-415 ," $1,650,000 "," $19,845,210 "," $1,289,713 "," $455,698 "," $1,367,095 ", $-   ," $300,000 ", $-   ," $24,907,716 ",14%,17%
 CA-24-416 ," $2,800,000 "," $9,676,106 "," $765,726 "," $270,557 "," $811,670 ", $-   ," $160,000 ", $-   ," $14,484,059 ",14%,21%
 CA-24-417 ," $3,450,000 "," $63,951,264 "," $4,062,682 "," $1,354,227 "," $4,062,682 ", $-   ," $725,000 ", $-   ," $77,605,855 ",13%,16%
 CA-24-418 ," $2,520,000 "," $29,660,400 "," $1,930,824 "," $682,224 "," $2,046,673 ", $-   ," $375,000 ", $-   ," $37,215,121 ",14%,17%
 CA-24-419 ," $1,624,000 "," $32,904,124 "," $2,094,264 "," $739,973 "," $2,219,920 ", $-   ," $400,000 ", $-   ," $39,982,281 ",14%,17%
 CA-24-420 ," $1,890,000 "," $24,029,430 "," $1,579,946 "," $558,248 "," $1,674,743 ", $-   ," $300,000 ", $-   ," $30,032,367 ",14%,17%
 CA-24-421 ," $2,700,000 "," $33,486,112 "," $2,201,393 "," $777,825 "," $2,333,476 ", $-   ," $430,000 ", $-   ," $41,928,806 ",14%,17%
 CA-24-422 , $-   ," $31,999,760 "," $1,599,988 "," $1,343,990 "," $1,679,987 ", $-   ," $680,947 ", $-   ," $37,304,672 ",14%,17%
 CA-24-423 , $-   ," $54,083,250 "," $2,712,912 "," $2,278,846 "," $2,848,558 ", $-   ," $987,367 ", $-   ," $62,910,933 ",14%,16%
 CA-24-424 ," $5,469,400 "," $26,590,179 "," $1,109,520 "," $2,034,120 "," $2,034,120 "," $6,164,000 "," $820,000 ", $-   ," $44,348,523 ",14%,23%
 CA-24-425 ," $5,780,995 "," $32,228,460 "," $2,051,320 "," $949,811 "," $2,394,000 "," $7,601,891 "," $466,000 "," $150,000 "," $52,404,731 ",11%,18%
 CA-24-426 ," $302,000 "," $4,861,623 "," $394,000 "," $150,000 "," $150,000 ", $-   ," $118,581 ", $-   ," $5,976,204 ",14%,17%
 CA-24-427 ," $5,073,621 "," $41,094,525 "," $1,198,023 "," $1,198,023 "," $2,396,046 ", $-   ," $660,809 "," $175,000 "," $52,249,548 ",10%,13%
 CA-24-428 ," $456,000 "," $6,095,146 "," $299,000 "," $150,000 "," $150,000 ", $-   ," $145,659 ", $-   ," $7,295,805 ",10%,12%
 CA-24-429 ," $543,736 "," $48,758,653 "," $2,412,348 "," $1,153,887 "," $1,153,887 "," $9,860,478 "," $1,172,320 "," $149,600 "," $65,204,909 ",9%,12%
 CA-24-430 ," $2,915,747 "," $32,317,099 "," $2,740,000 ", $-   ," $2,293,455 ", $-   , $-   , $-   ," $41,310,813 ",12%,16%
